"","YEAR","MONTH","I2015_NSA_IS.IP_F","I2015_NSA_IS.IP_F_CC1","I2015_NSA_IS.IP_F_CC2","I2015_NSA_IS.PEI_F_CC1","I2015_NSA_IS.PEI_F_CC11","I2015_NSA_IS.PEI_F_CC11_X_CC113","RT12.NSA_F_CC1_IS.PEI","RT12.NSA_F_CC11_IS.PEI","RT12.NSA_F_CC11_X_CC113_IS.PEI","BS.CCI.BAL_NSA","BS.CEME.BAL_NSA","BS.COB.BAL_NSA","BS.CPE.BAL_NSA","BS.CTA.BAL_NSA","BS.FLBA1.PC_NSA","BS.FLBA2.PC_NSA","BS.FLBA3.PC_NSA","BS.FLBA4.PC_NSA","BS.FLBA5.PC_NSA","BS.FLBA6.PC_NSA","BS.FLBA7.PC_NSA","PNUM_F_CC111_NSA_I10","PNUM_F_CC111_NSA_I15","PNUM_F_CC111_NSA_PCH_SM","PNUM_F_CC112_NSA_I10","PNUM_F_CC112_NSA_I15","PNUM_F_CC112_NSA_PCH_SM","PNUM_F_CC11_X_CC113_NSA_I10","PNUM_F_CC11_X_CC113_NSA_I15","PNUM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC1_NSA_I10","PSQM_F_CC1_NSA_I15","PSQM_F_CC1_NSA_PCH_SM","PSQM_F_CC11_NSA_I10","PSQM_F_CC11_NSA_I15","PSQM_F_CC11_NSA_PCH_SM","PSQM_F_CC111_NSA_I10","PSQM_F_CC111_NSA_I15","PSQM_F_CC111_NSA_PCH_SM","PSQM_F_CC112_NSA_I10","PSQM_F_CC112_NSA_I15","PSQM_F_CC112_NSA_PCH_SM","PSQM_F_CC113_NSA_I15","PSQM_F_CC113_NSA_PCH_SM","PSQM_F_CC11_X_CC113_NSA_I10","PSQM_F_CC11_X_CC113_NSA_I15","PSQM_F_CC11_X_CC113_NSA_PCH_SM","PSQM_F_CC12_NSA_I10","PSQM_F_CC12_NSA_I15","PSQM_F_CC12_NSA_PCH_SM","PSQM_F_CC122_NSA_I10","PSQM_F_CC122_NSA_I15","PSQM_F_CC122_NSA_PCH_SM","PSQM_F_CC12_X_CC122_NSA_I10","PSQM_F_CC12_X_CC122_NSA_I15","PSQM_F_CC12_X_CC122_NSA_PCH_SM"
"11",2018,11,112.6,111.6,115.6,105.5,99.6,98.5,-2.3,-2.2,-2.4,5.9,13.5,-1.7,1.4,16.9,30.2,26.1,3.2,40.3,3.1,9.5,15.8,NA,99.5,-4,NA,93.9,-4.1,NA,96.4,-4,NA,105.5,-2.3,NA,99.6,-2.2,NA,99.8,-3.2,NA,96.6,-1.2,126.1,3.2,NA,98.5,-2.4,NA,110.9,-2.5,NA,128.9,-6.9,NA,108.5,-1.6
"12",2018,10,115.2,111.3,130.7,123.5,125.2,127.1,-5.1,2,5.2,3.6,13.7,-6.6,3.3,12,30.5,27,1.7,40.2,3.2,10.6,14.7,NA,113.2,1.3,NA,142,4.5,NA,129.2,3.2,NA,123.5,-5.1,NA,125.2,2,NA,112.5,2.1,NA,147.7,8.9,80.7,-52.2,NA,127.1,5.2,NA,121.9,-11,NA,159.1,2.4,NA,116.9,-13.2
"13",2018,9,110.6,108.7,117.3,130.1,129.8,127.2,-3.1,-8.5,-8.4,9.8,22.2,-2.7,6.4,11.3,29.8,24.9,3.2,39.2,3.7,11.9,14.1,NA,117.3,-6.2,NA,138.2,-13.3,NA,128.9,-10.6,NA,130.1,-3.1,NA,129.8,-8.5,NA,117.5,-7.3,NA,140.6,-9.8,189.9,-10.7,NA,127.2,-8.4,NA,130.3,2.5,NA,176,16.2,NA,124.2,0.3
"14",2018,8,66,62.2,81.4,98.6,99.7,97,-19.4,-7.5,-11.4,9.7,20.3,-1,7,21.1,30.3,25.6,3.7,39,3.6,12.6,14.3,NA,91.2,-14.7,NA,100.9,-10.5,NA,96.6,-12.3,NA,98.6,-19.4,NA,99.7,-7.5,NA,93.3,-13.5,NA,102.2,-8.6,161.9,128.7,NA,97,-11.4,NA,97.6,-28.1,NA,102.5,-5.4,NA,96.9,-30.5
"15",2018,7,112.3,109,125.1,123.2,128.2,127.2,-6,-10.3,-11.4,10.2,21.9,-1.6,8.5,16.7,30.5,26.3,4.3,38.7,3.9,12.2,13.7,NA,122.3,-1.2,NA,131.2,-23.3,NA,127.3,-15.2,NA,123.2,-6,NA,128.2,-10.3,NA,122.4,-1.3,NA,133.9,-21.7,150.2,14.1,NA,127.2,-11.4,NA,118.6,-1.2,NA,148.1,-2.5,NA,114.6,-1
"16",2018,6,113.5,111.1,122.5,116.9,118.1,118.7,-6.9,-11.9,-11.4,6.3,17.4,-4.8,4.3,5.9,28.8,28,12.3,33.4,2.3,8.9,13.3,NA,112.8,-10.3,NA,123.5,-15.3,NA,118.7,-13.3,NA,116.9,-6.9,NA,118.1,-11.9,NA,113.9,-10,NA,125.5,-12.9,103.6,-25.5,NA,118.7,-11.4,NA,115.8,-1.6,NA,108.4,-3.9,NA,116.8,-1.4
"17",2018,5,99.2,98.6,100.4,101.3,111.4,110,-11.5,-6.3,-7.9,4.6,17.7,-8.5,4.3,7.2,30.2,27.7,12.3,32.5,2.1,7.9,13.2,NA,98.6,-18.3,NA,122.7,3.6,NA,112.1,-6.1,NA,101.3,-11.5,NA,111.4,-6.3,NA,100.5,-16.2,NA,123.4,3.7,142.3,35.4,NA,110,-7.9,NA,92,-16.7,NA,86.2,-19.7,NA,92.8,-16.2
"18",2018,4,104.9,104,107.5,96.2,103,104.3,-1.2,1.3,1.7,4.8,18.3,-8.7,4.7,6,30.2,26.2,15.3,32,1.9,10.2,13.2,NA,99.5,0.4,NA,108.7,-0.4,NA,104.6,-0.1,NA,96.2,-1.2,NA,103,1.3,NA,100.8,1.6,NA,109.2,1.7,74.3,-8,NA,104.3,1.7,NA,89.8,-4,NA,98.4,-31.6,NA,88.7,2.2
"19",2018,3,102.3,101.2,105.9,121.4,119,120.5,-4.6,-13.4,-11.3,4.7,15.7,-6.3,3.6,10.2,32.9,30.8,10.6,28.5,1.6,9.1,12.7,NA,117.1,-17.1,NA,124.4,-3.6,NA,121.2,-9.9,NA,121.4,-4.6,NA,119,-13.4,NA,117,-17.9,NA,125.4,-0.9,83.8,-51.2,NA,120.5,-11.3,NA,123.6,4.9,NA,168.9,101.3,NA,117.5,-4
"20",2018,2,106.3,108.9,94,106.3,112.1,112.8,9.4,7.1,8.8,1.5,9.3,-6.3,2.7,18.3,33.5,30.7,8.6,27.5,1.7,8.1,14.3,NA,111.7,0.7,NA,112.4,21.6,NA,112.1,11.4,NA,106.3,9.4,NA,112.1,7.1,NA,111.9,-0.5,NA,114,24.9,95.7,-25,NA,112.8,8.8,NA,100.9,11.6,NA,128.4,82.6,NA,97.3,4.5
