nace_r2,indic_sb,geo\time	2015 	2012 	2009 
B051,V15441,DE	: c	: c	: c
B051,V15441,DK	: u	: 	: 
B051,V15441,EE	0.0 	0.0 	0.0 
B051,V15441,EL	: b	: 	: 
B051,V15441,ES	: c	0.1 	: c
B051,V15441,FI	0.0 	0.0 	0.0 
B051,V15441,HR	0.0 	0.0 	: c
B051,V15441,HU	0.0 	4.5 	0.0 
B051,V15441,IE	: c	: c	: c
B051,V15441,IT	0.0 	: c	: c
B051,V15441,LT	0.0 	0.0 	0.0 
B051,V15441,LU	0.0 	0.0 	0.0 
B051,V15441,LV	0.0 	0.0 	0.0 
B051,V15441,MT	0.0 	0.0 	0.0 
B051,V15441,NL	0.0 	0.0 	: 
B051,V15441,NO	0.0 d	0.0 d	: c
B051,V15441,PL	0.5 d	: 	1.6 d
B051,V15441,PT	0.0 	0.0 	0.0 
B051,V15441,RO	: c	: c	: c
B051,V15441,SI	0.0 	0.0 	0.0 
B051,V15441,SK	0.0 	0.0 	0.0 
B051,V15441,UK	0.0 	: c	: c
B0510,V15420,AT	0.0 	0.0 	0.0 
B0510,V15420,BE	0.0 	0.0 	0.0 
B0510,V15420,BG	0.0 	0.0 	0.0 
B0510,V15420,CY	0.0 	0.0 	0.0 
B0510,V15420,CZ	: c	: c	: c
B0510,V15420,DE	: c	0.0 	0.0 
B0510,V15420,EE	0.0 	0.0 	0.0 
B0510,V15420,EL	: b	: 	: 
B0510,V15420,ES	: c	0.1 	: c
B0510,V15420,FI	0.0 	0.0 	0.0 
B0510,V15420,HR	0.0 	0.0 	: c
B0510,V15420,HU	0.0 	0.0 	0.0 
B0510,V15420,IE	: c	: c	: c
B0510,V15420,IT	0.0 	: c	: c
B0510,V15420,LT	0.0 	0.0 	0.0 
B0510,V15420,LU	0.0 	0.0 	0.0 
B0510,V15420,LV	0.0 	0.0 	0.0 
B0510,V15420,MT	0.0 	0.0 	0.0 
B0510,V15420,NL	0.0 	0.0 	: 
B0510,V15420,NO	0.0 d	0.0 d	: c
B0510,V15420,PL	0.4 d	: 	1.2 d
B0510,V15420,PT	0.0 	0.0 	0.0 
B0510,V15420,RO	: c	: c	: c
B0510,V15420,SI	0.0 	0.0 	0.0 
B0510,V15420,SK	0.0 	0.0 	0.0 
B0510,V15420,UK	0.0 	: c	0.0 
B0510,V15441,AT	0.0 	0.0 	0.0 
B0510,V15441,BE	0.0 	0.0 	0.0 
B0510,V15441,BG	0.0 	0.0 	0.0 
B0510,V15441,CY	0.0 	0.0 	0.0 
B0510,V15441,CZ	: c	: c	: c
B0510,V15441,DE	: c	: c	: c
B0510,V15441,DK	: u	: 	: 
B0510,V15441,EE	0.0 	0.0 	0.0 
B0510,V15441,EL	: b	: 	: 
B0510,V15441,ES	: c	0.1 	: c
B0510,V15441,FI	0.0 	0.0 	0.0 
B0510,V15441,HR	0.0 	0.0 	: c
B0510,V15441,HU	0.0 	4.5 	0.0 
B0510,V15441,IE	: c	: c	: c
B0510,V15441,IT	0.0 	: c	: c
B0510,V15441,LT	0.0 	0.0 	0.0 
B0510,V15441,LU	0.0 	0.0 	0.0 
B0510,V15441,LV	0.0 	0.0 	0.0 
B0510,V15441,MT	0.0 	0.0 	0.0 
B0510,V15441,NL	0.0 	0.0 	: 
B0510,V15441,NO	0.0 d	0.0 d	: c
B0510,V15441,PL	0.5 d	: 	1.6 d
B0510,V15441,PT	0.0 	0.0 	0.0 
B0510,V15441,RO	: c	: c	: c
B0510,V15441,SI	0.0 	0.0 	0.0 
B0510,V15441,SK	0.0 	0.0 	0.0 
B0510,V15441,UK	0.0 	: c	: c
B052,V15420,AT	0.0 	0.0 	0.0 
B052,V15420,BE	0.0 	: c	0.0 
B052,V15420,BG	: c	0.1 	: c
B052,V15420,CY	0.0 	0.0 	0.0 
B052,V15420,CZ	: c	: c	: c
B052,V15420,DE	0.0 	0.0 	: c
B052,V15420,EE	0.0 	0.0 	0.0 
B052,V15420,EL	0.0 b	: c	0.0 
B052,V15420,ES	: c	0.0 	: c
B052,V15420,FI	0.0 	0.0 	0.0 
B052,V15420,HR	0.0 	0.0 	0.0 
B052,V15420,HU	0.0 	0.0 	0.0 
B052,V15420,IE	0.0 	0.0 	: c
B052,V15420,IT	0.0 	0.0 	0.0 
B052,V15420,LT	0.0 	0.0 	0.0 
B052,V15420,LU	0.0 	0.0 	0.0 
B052,V15420,LV	0.0 	0.0 	0.0 
B052,V15420,MT	0.0 	0.0 	0.0 
B052,V15420,NL	0.0 	0.0 	: 
B052,V15420,NO	0.0 	0.0 	0.0 
B052,V15420,PL	0.0 d	: 	0.3 d
B052,V15420,PT	0.0 	0.0 	0.0 
B052,V15420,RO	: c	0.1 	: c
B052,V15420,SI	: c	0.0 	: c
B052,V15420,SK	: c	0.0 	: c
B052,V15420,UK	0.0 	0.0 	0.0 
B052,V15441,AT	0.0 	0.0 	0.0 
B052,V15441,BE	0.0 	: c	0.0 
B052,V15441,BG	0.0 	: c	0.1 
B052,V15441,CY	0.0 	0.0 	0.0 
B052,V15441,CZ	: c	: c	: c
B052,V15441,DE	: c	: c	: c
B052,V15441,DK	: u	: 	: 
B052,V15441,EE	0.0 	0.0 	0.0 
B052,V15441,EL	0.0 b	: c	0.0 
B052,V15441,ES	: c	0.0 	: c
B052,V15441,FI	0.0 	0.0 	0.0 
B052,V15441,HR	0.0 	0.0 	0.0 
B052,V15441,HU	0.0 	0.0 	0.0 
B052,V15441,IE	0.0 	0.0 	: c
B052,V15441,IT	0.0 	0.0 	0.0 
B052,V15441,LT	0.0 	0.0 	0.0 
B052,V15441,LU	0.0 	0.0 	0.0 
B052,V15441,LV	0.0 	0.0 	0.0 
B052,V15441,MT	0.0 	0.0 	0.0 
B052,V15441,NL	0.0 	0.0 	: 
B052,V15441,NO	0.0 	0.0 	0.0 
B052,V15441,PL	0.0 d	: 	0.8 d
B052,V15441,PT	0.0 	0.0 	0.0 
B052,V15441,RO	: c	0.0 	: c
B052,V15441,SI	: c	: c	: c
B052,V15441,SK	: c	: c	: c
B052,V15441,UK	0.0 	0.0 	0.0 
B0520,V15420,AT	0.0 	0.0 	0.0 
B0520,V15420,BE	0.0 	: c	0.0 
B0520,V15420,BG	: c	0.1 	: c
B0520,V15420,CY	0.0 	0.0 	0.0 
B0520,V15420,CZ	: c	: c	: c
B0520,V15420,DE	0.0 	0.0 	: c
B0520,V15420,EE	0.0 	0.0 	0.0 
B0520,V15420,EL	0.0 b	: c	0.0 
B0520,V15420,ES	: c	0.0 	: c
B0520,V15420,FI	0.0 	0.0 	0.0 
B0520,V15420,HR	0.0 	0.0 	0.0 
B0520,V15420,HU	0.0 	0.0 	0.0 
B0520,V15420,IE	0.0 	0.0 	: c
B0520,V15420,IT	0.0 	0.0 	0.0 
B0520,V15420,LT	0.0 	0.0 	0.0 
B0520,V15420,LU	0.0 	0.0 	0.0 
B0520,V15420,LV	0.0 	0.0 	0.0 
B0520,V15420,MT	0.0 	0.0 	0.0 
B0520,V15420,NL	0.0 	0.0 	: 
