Libellé;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Population au 1er janvier - Hommes - De 20 à 59 ans - France;15842523;15903754;15944240;15975908;16027374;16078641;16175344;16310168;16459685;16580155;16663397;16753533;16856130;16871404;16845771;16811728;16770616;16733705;16715881;16690662;16699260;16634215;16565586;16512130;16451819;16398879
Population au 1er janvier - Hommes - 60 ans et plus - France;4841771;4918974;4979443;5037300;5091257;5142437;5202044;5249408;5285026;5345956;5417452;5506394;5590198;5761482;5951132;6139924;6318030;6500627;6663407;6827803;6992942;7157023;7302454;7450778;7594997;7734873
Population au 1er janvier - Hommes - 75 ans et plus - France;1213177;1213401;1288376;1355833;1416312;1472982;1525277;1582012;1639159;1694124;1746061;1807587;1872331;1931210;1990417;2040294;2092427;2137698;2182826;2221577;2263481;2307514;2329758;2343838;2376087;2419705
Population au 1er janvier - Hommes - De 15 à 49 ans - France;14998271;15033777;15084987;15042325;14977990;14891590;14833161;14786076;14777232;14769284;14783872;14795352;14817511;14818289;14789950;14742306;14685086;14636364;14575289;14528161;14525519;14458774;14392725;14334551;14275942;14214449
Population au 1er janvier - Femmes - Moins de 15 ans - France;5767836;5742623;5704601;5667048;5633315;5627034;5641718;5665561;5680189;5691021;5697757;5705747;5719819;5748495;5772018;5817456;5859155;5888943;5922313;5950045;6017703;6032139;6002232;5965769;5925523;5879846
Population au 1er janvier - Femmes - Moins de 20 ans - France;7692827;7648800;7637483;7635863;7623439;7619510;7638228;7650618;7664983;7678625;7712889;7743192;7764037;7775928;7787501;7803115;7819649;7831645;7838327;7859121;7958800;7993269;7990084;7968588;7941212;7897418
Population au 1er janvier - Femmes - De 20 à 59 ans - France;15879186;15962066;16029351;16085091;16160109;16236129;16365884;16540418;16730670;16894088;17019971;17148423;17280106;17302422;17289022;17264472;17226614;17186403;17175198;17140315;17161730;17119843;17069544;17028227;16976812;16934132
Population au 1er janvier - Femmes - 60 ans et plus - France;6762786;6845388;6908288;6966961;7020612;7070621;7138238;7190357;7230084;7293973;7366269;7473330;7571930;7740586;7927049;8111068;8287144;8474395;8639642;8809895;8982216;9152374;9312930;9469905;9619266;9766618
Population au 1er janvier - Femmes - 75 ans et plus - France;2375564;2368524;2463203;2551585;2630152;2704791;2778841;2859895;2942115;3019821;3092386;3187736;3286871;3370140;3448524;3509510;3567031;3619313;3661503;3693165;3730686;3764300;3772852;3765015;3774255;3799143
Population au 1er janvier - Femmes - De 15 à 49 ans - France;14895413;14963166;15047031;15030909;14994845;14933978;14915405;14902246;14917748;14927556;14950515;14972305;14985223;14968614;14937480;14886302;14824460;14770438;14710160;14660158;14670520;14620109;14573738;14528123;14483344;14435356
Population au 1er janvier - Ensemble - Moins de 15 ans - France;11809628;11756031;11676351;11601547;11532939;11521697;11558446;11613651;11645716;11669451;11680487;11696788;11715950;11778201;11827212;11917951;11998951;12060943;12123714;12186689;12320176;12339441;12276879;12198620;12113376;12019420
Population au 1er janvier - Ensemble - Moins de 20 ans - France;15743811;15650395;15626091;15625917;15599995;15594837;15626640;15651059;15679605;15709858;15783973;15848857;15887753;15924796;15948885;15977308;16010535;16038270;16047113;16096081;16294725;16359014;16352131;16307380;16247805;16158197
Population au 1er janvier - Ensemble - De 20 à 59 ans - France;31721709;31865820;31973591;32060999;32187483;32314770;32541228;32850586;33190355;33474243;33683368;33901956;34136236;34173826;34134793;34076200;33997230;33920108;33891079;33830977;33860990;33754058;33635130;33540357;33428631;33333011
Population au 1er janvier - Ensemble - 60 ans et plus - France;11604557;11764362;11887731;12004261;12111869;12213058;12340282;12439765;12515110;12639929;12783721;12979724;13162128;13502068;13878181;14250992;14605174;14975022;15303049;15637698;15975158;16309397;16615384;16920683;17214263;17501491
Population au 1er janvier - Ensemble - 75 ans et plus - France;3588741;3581925;3751579;3907418;4046464;4177773;4304118;4441907;4581274;4713945;4838447;4995323;5159202;5301350;5438941;5549804;5659458;5757011;5844329;5914742;5994167;6071814;6102610;6108853;6150342;6218848
Population au 1er janvier - Ensemble - De 15 à 49 ans - France;29893684;29996943;30132018;30073234;29972835;29825568;29748566;29688322;29694980;29696840;29734387;29767657;29802734;29786903;29727430;29628608;29509546;29406802;29285449;29188319;29196039;29078883;28966463;28862674;28759286;28649805
