"","BS-CCI-BAL_NSA","BS-CCI-BAL_SA","BS-CEME-BAL_NSA","BS-CEME-BAL_SA","BS-COB-BAL_NSA","BS-COB-BAL_SA","BS-CPE-BAL_NSA","BS-CPE-BAL_SA","BS-CTA-BAL_NSA","BS-CTA-BAL_SA","BS-FLBA1-PC_NSA","BS-FLBA1-PC_SA","BS-FLBA2-PC_NSA","BS-FLBA2-PC_SA","BS-FLBA3-PC_NSA","BS-FLBA3-PC_SA","BS-FLBA4-PC_NSA","BS-FLBA4-PC_SA","BS-FLBA5-PC_NSA","BS-FLBA5-PC_SA","BS-FLBA6-PC_NSA","BS-FLBA6-PC_SA","BS-FLBA7-PC_NSA","BS-FLBA7-PC_SA","YEAR","MONTH"
"359",": ","-3.5 ",": ","7.7 ",": ","-14.7 ",": ",": ",": ","5.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","12 "
"360",": ","-4.9 ",": ","5.5 ",": ","-15.2 ",": ",": ",": ","3.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","11 "
"361","-7.9 ","-6.1 ","-2.4 ","3.4 ","-13.4 ","-15.7 ",": ",": ","12.0 ","2.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","10 "
"362",": ","-5.9 ",": ","2.6 ",": ","-14.3 ",": ",": ",": ","5.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","09 "
"363",": ","-5.6 ",": ","1.8 ",": ","-13.1 ",": ",": ",": ","8.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","08 "
"364","-0.5 ","-5.5 ","6.0 ","0.9 ","-6.9 ","-11.9 ",": ",": ","21.3 ","11.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","07 "
"365",": ","-3.9 ",": ","3.1 ",": ","-10.9 ",": ",": ",": ","20.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","06 "
"366",": ","-2.3 ",": ","5.2 ",": ","-9.8 ",": ",": ",": ","29.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","05 "
"367","0.7 ","-0.6 ","13.5 ","7.3 ","-12.1 ","-8.5 ",": ",": ","15.6 ","37.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","04 "
"368",": ","-0.3 ",": ","6.0 ",": ","-6.7 ",": ",": ",": ","32.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","03 "
"369",": ","-0.1 ",": ","4.7 ",": ","-4.9 ",": ",": ",": ","28.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","02 "
"370","-6.3 ","0.0 ","-3.2 ","3.6 ","-9.3 ","-3.5 ",": ",": ","23.3 ","25.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1989","01 "
"371",": ","-0.3 ",": ","3.4 ",": ","-3.9 ",": ",": ",": ","26.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","12 "
"372",": ","-0.6 ",": ","3.2 ",": ","-4.4 ",": ",": ",": ","28.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","11 "
"373","-3.1 ","-1.0 ","-3.4 ","2.9 ","-2.8 ","-4.8 ",": ",": ","39.6 ","29.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","10 "
"374",": ","0.4 ",": ","4.8 ",": ","-4.0 ",": ",": ",": ","29.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","09 "
"375",": ","1.6 ",": ","6.6 ",": ","-3.4 ",": ",": ",": ","28.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","08 "
"376","7.9 ","2.7 ","13.0 ","8.2 ","2.8 ","-2.8 ",": ",": ","39.9 ","28.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","07 "
"377",": ","-0.8 ",": ","5.2 ",": ","-6.9 ",": ",": ",": ","28.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","06 "
"378",": ","-4.3 ",": ","2.2 ",": ","-10.8 ",": ",": ",": ","30.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","05 "
"379","-4.6 ","-7.6 ","6.4 ","-0.7 ","-15.6 ","-14.5 ",": ",": ","9.5 ","33.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","04 "
"380",": ","-6.6 ",": ","0.1 ",": ","-13.2 ",": ",": ",": ","31.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","03 "
"381",": ","-5.6 ",": ","0.8 ",": ","-12.0 ",": ",": ",": ","28.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","02 "
"382","-10.1 ","-5.2 ","-5.0 ","0.6 ","-15.3 ","-11.0 ",": ",": ","26.3 ","25.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1988","01 "
"383",": ","-7.2 ",": ","-1.9 ",": ","-12.6 ",": ",": ",": ","23.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","12 "
"384",": ","-9.4 ",": ","-4.3 ",": ","-14.4 ",": ",": ",": ","21.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","11 "
"385","-11.7 ","-11.3 ","-9.8 ","-6.4 ","-13.5 ","-16.3 ",": ",": ","30.4 ","19.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","10 "
"386",": ","-11.8 ",": ","-5.8 ",": ","-17.8 ",": ",": ",": ","17.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","09 "
"387",": ","-12.3 ",": ","-5.3 ",": ","-19.3 ",": ",": ",": ","16.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","08 "
"388","-9.1 ","-13.0 ","-1.4 ","-5.1 ","-16.7 ","-20.8 ",": ",": ","28.8 ","15.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","07 "
"389",": ","-15.0 ",": ","-8.4 ",": ","-21.5 ",": ",": ",": ","8.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","06 "
"390",": ","-16.8 ",": ","-11.4 ",": ","-22.2 ",": ",": ",": ","2.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","05 "
"391","-14.7 ","-18.4 ","-5.9 ","-13.9 ","-23.4 ","-22.8 ",": ",": ","-21.2 ","-2.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","04 "
"392",": ","-19.7 ",": ","-14.3 ",": ","-25.2 ",": ",": ",": ","-0.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","03 "
"393",": ","-21.1 ",": ","-14.9 ",": ","-27.4 ",": ",": ",": ","1.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","02 "
"394","-27.3 ","-22.4 ","-20.6 ","-15.5 ","-34.0 ","-29.3 ",": ",": ","2.7 ","2.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1987","01 "
"395",": ","-21.5 ",": ","-14.4 ",": ","-28.6 ",": ",": ",": ","5.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","12 "
"396",": ","-20.7 ",": ","-13.4 ",": ","-27.9 ",": ",": ",": ","8.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","11 "
"397","-21.5 ","-19.9 ","-16.4 ","-12.4 ","-26.5 ","-27.4 ",": ",": ","17.8 ","11.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","10 "
"398",": ","-18.9 ",": ","-11.2 ",": ","-26.7 ",": ",": ",": ","11.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","09 "
"399",": ","-18.1 ",": ","-10.1 ",": ","-26.1 ",": ",": ",": ","12.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","08 "
"400","-16.2 ","-17.3 ","-9.3 ","-8.9 ","-23.2 ","-25.6 ",": ",": ","18.6 ","12.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","07 "
"401",": ","-19.7 ",": ","-10.0 ",": ","-29.4 ",": ",": ",": ","8.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","06 "
"402",": ","-21.9 ",": ","-10.8 ",": ","-32.9 ",": ",": ",": ","4.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","05 "
"403","-21.8 ","-23.8 ","-5.8 ","-11.5 ","-37.8 ","-36.1 ",": ",": ","-17.6 ","1.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","04 "
"404",": ","-25.0 ",": ","-12.2 ",": ","-37.9 ",": ",": ",": ","3.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","03 "
"405",": ","-26.4 ",": ","-13.0 ",": ","-39.7 ",": ",": ",": ","5.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","02 "
"406","-32.1 ","-27.6 ","-19.3 ","-13.9 ","-44.8 ","-41.3 ",": ",": ","6.4 ","7.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1986","01 "
"407",": ","-29.1 ",": ","-16.3 ",": ","-42.0 ",": ",": ",": ","6.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","12 "
"408",": ","-30.6 ",": ","-18.6 ",": ","-42.6 ",": ",": ",": ","5.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","11 "
"409","-33.6 ","-32.0 ","-24.9 ","-20.8 ","-42.3 ","-43.3 ",": ",": ","10.6 ","3.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","10 "
"410",": ","-32.5 ",": ","-19.8 ",": ","-45.1 ",": ",": ",": ","0.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","09 "
"411",": ","-32.9 ",": ","-19.1 ",": ","-46.8 ",": ",": ",": ","-2.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","08 "
"412","-32.4 ","-33.4 ","-18.1 ","-18.3 ","-46.7 ","-48.5 ",": ",": ","2.3 ","-5.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","07 "
"413",": ","-35.6 ",": ","-21.5 ",": ","-49.7 ",": ",": ",": ","-14.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","06 "
"414",": ","-37.8 ",": ","-24.5 ",": ","-51.0 ",": ",": ",": ","-22.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","05 "
"415","-36.8 ","-40.0 ","-20.4 ","-27.6 ","-53.2 ","-52.3 ",": ",": ","-43.2 ","-29.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","04 "
"416",": ","-44.5 ",": ","-32.6 ",": ","-56.5 ",": ",": ",": ","-31.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","03 "
"417",": ","-49.1 ",": ","-37.6 ",": ","-60.7 ",": ",": ",": ","-33.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","02 "
"418","-55.8 ","-53.2 ","-45.1 ","-42.0 ","-66.5 ","-64.4 ",": ",": ","-33.3 ","-35.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1985","01 "
"419",": ","-54.0 ",": ","-44.3 ",": ","-63.8 ",": ",": ",": ","-38.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","12 "
"420",": ","-54.6 ",": ","-46.4 ",": ","-62.9 ",": ",": ",": ","-40.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","11 "
"421","-54.7 ","-55.2 ","-49.3 ","-48.3 ","-60.1 ","-62.1 ",": ",": ","-34.6 ","-42.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","10 "
"422",": ","-56.9 ",": ","-48.9 ",": ","-64.9 ",": ",": ",": ","-42.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","09 "
"423",": ","-58.4 ",": ","-49.3 ",": ","-67.5 ",": ",": ",": ","-43.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","08 "
"424","-58.1 ","-59.9 ","-49.0 ","-49.7 ","-67.2 ","-70.0 ",": ",": ","-37.6 ","-43.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","07 "
"425",": ","-61.2 ",": ","-51.4 ",": ","-71.1 ",": ",": ",": ","-43.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","06 "
"426",": ","-62.5 ",": ","-52.9 ",": ","-72.1 ",": ",": ",": ","-44.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","05 "
"427","-61.3 ","-63.7 ","-48.1 ","-54.3 ","-74.5 ","-73.1 ",": ",": ","-58.1 ","-44.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","04 "
"428",": ","-63.1 ",": ","-53.7 ",": ","-72.4 ",": ",": ",": ","-42.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","03 "
"429",": ","-62.5 ",": ","-53.2 ",": ","-71.8 ",": ",": ",": ","-41.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","02 "
"430","-65.4 ","-62.1 ","-57.3 ","-53.0 ","-73.6 ","-71.2 ",": ",": ","-41.0 ","-40.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1984","01 "
"431",": ","-61.6 ",": ","-50.9 ",": ","-72.3 ",": ",": ",": ","-43.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","12 "
"432",": ","-60.7 ",": ","-48.5 ",": ","-72.9 ",": ",": ",": ","-46.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","11 "
"433","-60.4 ","-59.7 ","-48.4 ","-46.2 ","-72.3 ","-73.3 ",": ",": ","-40.2 ","-47.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","10 "
"434",": ","-60.7 ",": ","-48.8 ",": ","-72.7 ",": ",": ",": ","-47.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","09 "
"435",": ","-61.6 ",": ","-51.1 ",": ","-72.1 ",": ",": ",": ","-47.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","08 "
"436","-61.4 ","-62.5 ","-53.8 ","-53.5 ","-69.0 ","-71.5 ",": ",": ","-40.6 ","-47.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","07 "
"437",": ","-59.3 ",": ","-49.2 ",": ","-69.3 ",": ",": ",": ","-43.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","06 "
"438",": ","-56.2 ",": ","-45.1 ",": ","-67.2 ",": ",": ",": ","-40.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","05 "
"439","-50.9 ","-53.0 ","-35.3 ","-41.0 ","-66.5 ","-65.1 ",": ",": ","-50.6 ","-37.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","04 "
"440",": ","-50.7 ",": ","-38.0 ",": ","-63.3 ",": ",": ",": ","-36.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","03 "
"441",": ","-48.3 ",": ","-35.1 ",": ","-61.5 ",": ",": ",": ","-35.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","02 "
"442","-50.2 ","-46.4 ","-37.4 ","-32.9 ","-62.9 ","-59.8 ",": ",": ","-37.4 ","-35.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1983","01 "
"443",": ","-48.5 ",": ","-35.3 ",": ","-61.7 ",": ",": ",": ","-37.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","12 "
"444",": ","-50.2 ",": ","-37.4 ",": ","-63.0 ",": ",": ",": ","-37.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","11 "
"445","-52.4 ","-51.7 ","-41.7 ","-39.2 ","-63.0 ","-64.2 ",": ",": ","-30.3 ","-38.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","10 "
"446",": ","-51.6 ",": ","-38.6 ",": ","-64.6 ",": ",": ",": ","-38.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","09 "
"447",": ","-51.6 ",": ","-38.2 ",": ","-65.0 ",": ",": ",": ","-38.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","08 "
"448","-49.6 ","-51.8 ","-36.7 ","-37.9 ","-62.5 ","-65.6 ",": ",": ","-30.6 ","-37.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","07 "
"449",": ","-52.1 ",": ","-39.6 ",": ","-64.6 ",": ",": ",": ","-38.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","06 "
"450",": ","-52.3 ",": ","-41.1 ",": ","-63.4 ",": ",": ",": ","-38.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","05 "
"451","-49.7 ","-52.4 ","-36.0 ","-42.6 ","-63.4 ","-62.3 ",": ",": ","-52.7 ","-39.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","04 "
"452",": ","-50.7 ",": ","-41.2 ",": ","-60.2 ",": ",": ",": ","-34.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","03 "
"453",": ","-49.0 ",": ","-39.7 ",": ","-58.2 ",": ",": ",": ","-29.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","02 "
"454","-51.6 ","-47.6 ","-43.2 ","-38.5 ","-59.9 ","-56.7 ",": ",": ","-29.0 ","-26.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1982","01 "
"455",": ","-46.2 ",": ","-36.4 ",": ","-56.0 ",": ",": ",": ","-27.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","12 "
"456",": ","-44.6 ",": ","-34.4 ",": ","-54.8 ",": ",": ",": ","-27.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","11 "
"457","-44.0 ","-43.0 ","-35.4 ","-32.5 ","-52.5 ","-53.5 ",": ",": ","-18.2 ","-26.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","10 "
"458",": ","-40.9 ",": ","-30.8 ",": ","-51.0 ",": ",": ",": ","-24.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","09 "
"459",": ","-38.7 ",": ","-29.0 ",": ","-48.5 ",": ",": ",": ","-23.3 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","08 "
"460","-34.4 ","-36.6 ","-26.2 ","-27.3 ","-42.7 ","-45.8 ",": ",": ","-13.9 ","-21.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","07 "
"461",": ","-35.4 ",": ","-25.0 ",": ","-45.8 ",": ",": ",": ","-21.1 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","06 "
"462",": ","-34.0 ",": ","-22.3 ",": ","-45.7 ",": ",": ",": ","-20.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","05 "
"463","-29.8 ","-32.5 ","-12.9 ","-19.5 ","-46.7 ","-45.5 ",": ",": ","-33.6 ","-20.2 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","04 "
"464",": ","-32.6 ",": ","-20.2 ",": ","-45.0 ",": ",": ",": ","-19.9 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","03 "
"465",": ","-32.7 ",": ","-21.0 ",": ","-44.4 ",": ",": ",": ","-19.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","02 "
"466","-37.1 ","-33.0 ","-26.8 ","-21.8 ","-47.5 ","-44.3 ",": ",": ","-23.3 ","-20.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1981","01 "
"467",": ","-30.9 ",": ","-19.9 ",": ","-42.0 ",": ",": ",": ","-17.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","12 "
"468",": ","-28.9 ",": ","-18.6 ",": ","-39.1 ",": ",": ",": ","-12.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","11 "
"469","-28.0 ","-26.7 ","-20.9 ","-17.3 ","-35.2 ","-36.2 ",": ",": ","0.5 ","-7.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","10 "
"470",": ","-25.2 ",": ","-15.8 ",": ","-34.7 ",": ",": ",": ","-5.7 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","09 "
"471",": ","-23.7 ",": ","-14.2 ",": ","-33.1 ",": ",": ",": ","-3.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","08 "
"472","-19.4 ","-22.0 ","-10.5 ","-12.6 ","-28.3 ","-31.5 ",": ",": ","5.7 ","-1.8 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","07 "
"473",": ","-21.1 ",": ","-12.3 ",": ","-29.9 ",": ",": ",": ","0.6 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","06 "
"474",": ","-20.1 ",": ","-12.0 ",": ","-28.3 ",": ",": ",": ","3.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","05 "
"475","-16.4 ","-19.2 ","-4.9 ","-11.6 ","-27.8 ","-26.7 ",": ",": ","-7.9 ","5.5 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","04 "
"476",": ","-18.6 ",": ","-10.6 ",": ","-26.6 ",": ",": ",": ","4.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","03 "
"477",": ","-18.0 ",": ","-9.6 ",": ","-26.5 ",": ",": ",": ","2.4 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","02 "
"478","-21.9 ","-17.8 ","-13.9 ","-8.9 ","-30.0 ","-26.8 ",": ",": ","-2.6 ","0.0 ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ",": ","1980","01 "
